USM,UPM,FACTOR,REGION,ZONA,tipo.viv,NivInst,x,y,tipoViv,FACTORlog,y_w,FACTORcounts,ylogc,ylogcpred,ypred
6,13,151,1,1,3,4,0,1690000,3,0.03752155436826943,255190000,13,0.9405080734167797,0.009303430658128595,665993.0034523915
7,13,151,1,1,2,7,0,8849229.133333333,2,0.03752155436826943,1336233599.1333332,13,2.596109896129745,0.009303430658128595,665993.0034523915
8,13,151,1,1,2,7,0,325000,2,0.03752155436826943,49075000,13,-0.7081505521706024,0.009303430658128595,665993.0034523915
9,13,151,1,1,2,7,0,3841500,2,0.03752155436826943,580066500,13,1.7616424598073497,0.009303430658128595,665993.0034523915
10,13,151,1,1,3,1,0,927333.3333333333,3,0.03752155436826943,140027333.3333333,13,0.34033734931493953,0.009303430658128595,665993.0034523915
1,14,166,1,1,3,3,0,752916.6666666667,3,0.1322295059098888,124984166.66666669,14,0.13197881873798956,0.08692582812082313,719748.296446525
2,14,166,1,1,2,3,0,433333.33333333326,2,0.1322295059098888,71933333.33333331,14,-0.42046847971882073,0.08692582812082313,719748.296446525
3,14,166,1,1,2,4,0,405000,2,0.1322295059098888,67230000,14,-0.4880886673938001,0.08692582812082313,719748.296446525
5,14,166,1,1,3,3,0,758333.3333333335,3,0.1322295059098888,125883333.33333336,14,0.13914730821660193,0.08692582812082313,719748.296446525
6,14,166,1,1,3,3,0,2355166.666666667,3,0.1322295059098888,390957666.66666675,14,1.2723910408543517,0.08692582812082313,719748.296446525
7,14,166,1,1,2,7,0,1414833.3333333333,2,0.1322295059098888,234862333.3333333,14,0.7627912830095731,0.08692582812082313,719748.296446525
8,14,166,1,1,2,2,0,101500,2,0.1322295059098888,16849000,14,-1.871916936018497,0.08692582812082313,719748.296446525
10,14,166,1,1,3,2,0,604500,3,0.1322295059098888,100347000,14,-0.08757406444549254,0.08692582812082313,719748.296446525
11,14,166,1,1,3,4,0,664304.4464272438,3,0.1322295059098888,110274538.10692246,14,0.006764813550899973,0.08692582812082313,719748.296446525
12,14,166,1,1,2,7,0,858333.3333333335,2,0.1322295059098888,142483333.33333337,14,0.26301678992938804,0.08692582812082313,719748.296446525
1,15,158,1,1,1,4,0,3334159.343878149,1,0.08283675058031204,526797176.3327476,15,1.620000121273046,0.046510290360607005,691239.2663702033
2,15,158,1,1,3,3,0,845000,3,0.08283675058031204,133510000,15,0.24736089285683427,0.046510290360607005,691239.2663702033
3,15,158,1,1,3,4,0,972833.3333333335,3,0.08283675058031204,153707666.6666667,15,0.3882370414753975,0.046510290360607005,691239.2663702033
4,15,158,1,1,2,4,0,1651000,2,0.08283675058031204,260858000,15,0.9171607094197878,0.046510290360607005,691239.2663702033
6,15,158,1,1,2,1,0,1073895.5870324932,2,0.08283675058031204,169675502.75113392,15,0.48707231706447907,0.046510290360607005,691239.2663702033
7,15,158,1,1,1,7,0,4586500,1,0.08283675058031204,724667000,15,1.93889675044937,0.046510290360607005,691239.2663702033
8,15,158,1,1,3,7,0,108500,3,0.08283675058031204,17143000,15,-1.8052255615198245,0.046510290360607005,691239.2663702033
9,15,158,1,1,3,3,0,2201766.6666666665,3,0.08283675058031204,347879133.3333333,15,1.205039612892774,0.046510290360607005,691239.2663702033
10,15,158,1,1,1,4,0,3293333.3333333335,1,0.08283675058031204,520346666.6666667,15,1.6076797675734635,0.046510290360607005,691239.2663702033
11,15,158,1,1,4,7,8666.666666666668,4656166.666666667,4,0.08283675058031204,735674333.3333334,15,1.9539720503756524,0.046510290360607005,691239.2663702033
12,15,158,1,1,1,7,0,1776666.6666666667,1,0.08283675058031204,280713333.3333334,15,0.9905184939914413,0.046510290360607005,691239.2663702033
1,16,111,1,1,4,5,5200,1731866.6666666667,4,-0.27022808113432095,192237200,16,0.9649793693646807,-0.24334433450502263,517304.357228929
2,16,111,1,1,1,2,0,2047500,1,-0.27022808113432095,227272500,16,1.1323990812268843,-0.24334433450502263,517304.357228929
3,16,111,1,1,4,4,0,500500,4,-0.27022808113432095,55555500,16,-0.2763681357450647,-0.24334433450502263,517304.357228929
4,16,111,1,1,1,7,0,3488333.3333333335,1,-0.27022808113432095,387205000,16,1.6652036117116502,-0.24334433450502263,517304.357228929
5,16,111,1,1,4,4,0,1001000,4,-0.27022808113432095,111111000,16,0.4167790448148807,-0.24334433450502263,517304.357228929
7,16,111,1,1,2,7,624000,2184000,2,-0.27022808113432095,242424000,16,1.1969376023644553,-0.24334433450502263,517304.357228929
8,16,111,1,1,2,2,768658.1066666667,1158658.1066666667,2,-0.27022808113432095,128611049.84,16,0.5630420753874716,-0.24334433450502263,517304.357228929
9,16,111,1,1,1,4,0,350000,1,-0.27022808113432095,38850000,16,-0.6340425800168799,-0.24334433450502263,517304.357228929
10,16,111,1,1,1,4,0,1460957.959699606,1,-0.27022808113432095,162166333.52665627,16,0.7948719018189703,-0.24334433450502263,517304.357228929
11,16,111,1,1,4,0,0,2242500,4,-0.27022808113432095,248917500,16,1.2233708594326114,-0.24334433450502263,517304.357228929
12,16,111,1,1,1,7,0,455000,1,-0.27022808113432095,50505000,16,-0.37167831554938857,-0.24334433450502263,517304.357228929
2,17,190,1,1,1,6,0,3452590.2666666666,1,0.2672657897138313,655992150.6666666,17,1.6549042957466593,0.1976910026316989,804054.2460641842
4,17,190,1,1,1,4,0,1067416.6666666665,1,0.2672657897138313,202809166.66666663,17,0.4810209435427968,0.1976910026316989,804054.2460641842
5,17,190,1,1,3,7,0,217000,3,0.2672657897138313,41230000,17,-1.112078380959879,0.1976910026316989,804054.2460641842
8,17,190,1,1,2,3,0,671666.6666666667,2,0.2672657897138313,127616666.66666669,17,0.017786451212334242,0.1976910026316989,804054.2460641842
9,17,190,1,1,2,3,0,1379708.3333333335,2,0.2672657897138313,262144583.33333337,17,0.7376516686557864,0.1976910026316989,804054.2460641842
